ID,Name,Description,Contributor,Citation,Archive,Archive_link,AnnotationLicense,AudioLicense,DOI
Anal,Anal,,"Ozerov, Pavel",,ELAR,http://hdl.handle.net/2196/00-0000-0000-000F-CB55-6,CC BY,CC BY-NC,10.34847/nkl.0dbazp8m
Yali (Apahapsili),Yali (Apahapsili),,"Riesberg, Sonja",,TLA,https://hdl.handle.net/1839/00-0000-0000-0017-EA2F-C,CC BY-NC-SA,CC BY-NC-SA,10.34847/nkl.9d91nkq2
Arapaho,Arapaho,,"Cowell, Andrew",,ELAR,http://hdl.handle.net/2196/00-0000-0000-0002-E4CC-C,CC BY,CC BY,10.34847/nkl.36f5r1b6
Baïnounk Gubëeher,Baïnounk Gubëeher,,"Cobbinah, Alexander Yao",,ELAR,http://hdl.handle.net/2196/00-0000-0000-000E-38AC-3,CC BY,CC BY,10.34847/nkl.a332abw8
Beja,Beja,,"Vanhove, Martine",,CorpoAfroas,http://dx.doi.org/10.1075/scl.68.website,CC BY-NC,CC BY-NC,10.34847/nkl.edd011t1
Bora,Bora,,"Seifart, Frank",,TLA,https://hdl.handle.net/1839/00-0000-0000-0008-38E5-2,CC BY,CC BY,10.34847/nkl.6eaf5laq
Cabécar,Cabécar,,"Quesada, Juan Diego and Skopeteas, Stavros and Pasamonik, Carolina and Brokmann, Carolin and Fischer, Florian",,TLA,https://hdl.handle.net/1839/00-0000-0000-0021-E375-1,CC BY-NC-ND,CC BY-NC-ND,10.34847/nkl.ebc4ra22
Cashinahua,Cashinahua,,"Reiter, Sabine",,TLA,https://hdl.handle.net/1839/00-0000-0000-0008-4070-6,CC BY,CC BY,10.34847/nkl.a8f9q2f1
Dolgan,Dolgan,,"Däbritz, Chris Lasse and Kudryakova, Nina and Stapert, Eugénie and Arkhipov, Alexandre",,HZSK,http://hdl.handle.net/11022/0000-0007-CAE7-1,CC BY,CC BY-NC,10.34847/nkl.f09eikq3
Evenki,Evenki,,"Kazakevich, Olga and Klyachko, Elena",,Siberian Lang,http://minlang.srcc.msu.ru/ru/glavnaya,CC BY,CC BY,10.34847/nkl.5e0d27cu
Goemai,Goemai,,"Hellwig, Birgit",,TLA,https://hdl.handle.net/1839/00-0000-0000-0000-6B5E-B,CC BY,audio linked,10.34847/nkl.b93664ml
Gorwaa,Gorwaa,,"Harvey, Andrew",,ELAR,http://hdl.handle.net/2196/00-0000-0000-000F-79D0-1,CC BY,CC BY,10.34847/nkl.a4b4ijj2
